codigo,nombre,creditos,facultad,profesor,modalidad,dificultad,cupos_disponibles,cupos_totales,horario,prerequisitos,descripcion,etiquetas,imagen
2025963,Cátedra UNAL de Paz y Convivencia,3,Sede,María Fernanda González,presencial,Básico,40,40,"Jueves 4-6pm",,"Espacio de reflexión sobre la paz territorial y la convivencia en Colombia, con énfasis en memoria histórica y reconciliación.",Paz;Convivencia;Memoria;Sociedad,
2025964,Cátedra UNAL de Biodiversidad,3,Sede,Andrés E. Etter,virtual,Básico,60,60,"Viernes 2-4pm",,"Recorre los ecosistemas colombianos, su biodiversidad y los retos de conservación frente al cambio climático.",Biodiversidad;Ambiente;Colombia;Conservación,
2025965,Cátedra UNAL de Ingeniería y Sociedad,2,Ingeniería,Carlos A. Vargas,híbrida,Intermedio,35,40,"Martes 6-8pm",,"Discute la responsabilidad social del ingeniero, ética profesional y el impacto de la tecnología en la sociedad.",Ética;Ingeniería;Sociedad;Tecnología,
2025966,Cátedra UNAL de Arte y Cultura,3,Artes,Laura Restrepo,presencial,Básico,30,30,"Miércoles 4-6pm",,"Aproximación crítica a las artes (música, teatro, literatura) como vehículos de identidad cultural.",Arte;Cultura;Música;Literatura,
2025701,Estrategias de Comunicación Científica,3,Ciencias Humanas,Diana C. Acevedo,presencial,Intermedio,25,30,"Lunes 8-10am;Miércoles 8-10am",,"Taller de escritura y oralidad para divulgar ciencia a públicos no especializados.",Comunicación;Ciencia;Escritura,
2025702,Introducción a la Ciencia de Datos,3,Ciencias,Juan P. Gómez,virtual,Avanzado,40,40,"Martes 4-6pm",,"Fundamentos de estadística, Python y visualización aplicados a problemas reales del país.",Datos;Estadística;Python;Tecnología,
2025703,Pensamiento Sistémico y Sostenibilidad,2,Ingeniería,Ana M. López,híbrida,Intermedio,30,30,"Jueves 2-4pm",,"Herramientas de sistemas dinámicos para analizar problemas ambientales y de sostenibilidad.",Sostenibilidad;Sistemas;Ambiente,
2025704,Cine y Sociedad Latinoamericana,3,Artes,Ricardo P. Mejía,presencial,Básico,40,40,"Viernes 4-7pm",,"Análisis crítico del cine latinoamericano como reflejo de procesos sociales y políticos del siglo XX y XXI.",Cine;Cultura;Sociedad;Latinoamérica,
2025705,Economía para No Economistas,3,Ciencias Económicas,Beatriz H. Salazar,virtual,Básico,60,60,"Miércoles 6-8pm",,"Introducción a la teoría económica aplicada a la realidad colombiana: mercado, inflación, política monetaria.",Economía;Colombia;Sociedad,
2025706,Salud Mental y Bienestar Universitario,2,Medicina,Carlos F. Ruiz,presencial,Básico,35,35,"Martes 2-4pm",,"Estrategias de autocuidado, manejo del estrés académico y promoción de la salud mental en la vida universitaria.",Salud;Bienestar;Psicología,
